,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,id,if,num,real,true,while,{,||,},false
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,
1,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,s8,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,s17,s16,,s19,s14,,,,s15,s20,,s11,
6,,,,,,,,,,,,,,,,,,,,r3,,r3,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,s10,,,,,,s9,,,,,,,,,
8,,,,,,,,,,,,,,,,,,r7,,,,,,r7,,,,,,,,,
9,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,s36,,,,,,,
11,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,r8,
13,,,,,,,,,,,,,,s34,,,,s35,,,,,,,,,,,,,,,
14,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,s27,s26,,s19,s24,,,,s25,s29,,,
17,,,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,r16,
19,,,,,,,,,,,,,,r18,,,,r18,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s44,,,,s47,,,,s45,,,,,,,,,,,,,,,s53,,s49,s50,s51,,,,,s52
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s55,,,,
23,,,,,,,,,,,,,,s54,,,,s35,,,,,,,,,,,,,,,
24,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,s27,s26,,s19,s24,,,,s25,s29,,,
27,,,,,,,,,,,s73,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,s44,,,,s47,,,,s45,,,,,,,,,,,,,,,s53,,s49,s50,s51,,,,,s52
31,,,,,,,,,,,,,,,,,,,,s8,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,r5,,r5,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,,r15,
34,s63,,,,s66,,,,s64,,,,,,,,,,,,,,,s72,,s68,s69,s70,,,,,s71
35,,,,,,,,,,,,,,,,,,,,,,,,,,s80,,,,,,,
36,,,,,,,,,,,,,,,,,,,s81,,,,,,,,,,,,,,
37,,,,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,s107,,
38,,,,s83,,r20,,,,,,,,,,,,,,,,,,,,,,,,,r20,,
39,,s88,,r22,,r22,,,,,,,,,s87,,,,,,,,,,,,,,,,r22,,
40,,r25,,r25,,r25,,,,,,,,,r25,,,,,,,,,,,,,,,,r25,,
41,,r30,,r30,,r30,,s120,s121,,,s116,s117,,r30,s119,s118,,,,,,,,,,,,,,r30,,
42,,r33,,r33,,r33,s100,r33,r33,s101,,r33,r33,,r33,r33,r33,,,,,,,,,,,,,,r33,,
43,,r36,,r36,,r36,r36,r36,r36,r36,,r36,r36,,r36,r36,r36,,,,,,,,,,,,,,r36,,
44,s44,,,,s47,,,,s45,,,,,,,,,,,,,,,s53,,s49,s50,s51,,,,,s52
45,s44,,,,s47,,,,s45,,,,,,,,,,,,,,,s53,,s49,s50,s51,,,,,s52
46,,r39,,r39,,r39,r39,r39,r39,r39,,r39,r39,,r39,r39,r39,,,,,,,,,,,,,,r39,,
47,s44,,,,s47,,,,s45,,,,,,,,,,,,,,,s53,,s49,s50,s51,,,,,s52
48,,r41,,r41,,r41,r41,r41,r41,r41,,r41,r41,,r41,r41,r41,s85,,,,,,,,,,,,,r41,,
49,,r42,,r42,,r42,r42,r42,r42,r42,,r42,r42,,r42,r42,r42,,,,,,,,,,,,,,r42,,
50,,r43,,r43,,r43,r43,r43,r43,r43,,r43,r43,,r43,r43,r43,,,,,,,,,,,,,,r43,,
51,,r44,,r44,,r44,r44,r44,r44,r44,,r44,r44,,r44,r44,r44,,,,,,,,,,,,,,r44,,
52,,r45,,r45,,r45,r45,r45,r45,r45,,r45,r45,,r45,r45,r45,,,,,,,,,,,,,,r45,,
53,,r18,,r18,,r18,r18,r18,r18,r18,,r18,r18,,r18,r18,r18,r18,,,,,,,,,,,,,r18,,
54,s63,,,,s66,,,,s64,,,,,,,,,,,,,,,s72,,s68,s69,s70,,,,,s71
55,,,,,s102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,s113,,,,,,,,,,,,,,,,,,,,s114,,
57,,,,s112,,,,,,,r20,,,,,,,,,,,,,,,,,,,,r20,,
58,,s91,,r22,,,,,,,r22,,,,s90,,,,,,,,,,,,,,,,r22,,
