,Loc,block,bool,decl,decls,equality,expr,factor,join,program,rel,stmt,stmts,term,type,unary
0,,2,,,,,,,,1,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,4,,,,,,,,,,,
4,,,,5,,,,,,,,,6,,7,
5,,,,,,,,,,,,,,,,
6,,18,,,,,,,,,,11,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,29,,,,,,,,,,23,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,31,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,42,,,44,46,51,43,,45,,,47,,48
22,,,58,,,44,46,51,43,,45,,,47,,48
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
27,,29,,,,,,,,,,37,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,59,,,,,,,,,,,
31,,,,5,,,,,,,,,40,,7,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,79,,,44,46,51,43,,45,,,47,,48
36,,,69,,,44,46,51,43,,45,,,47,,48
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,18,,,,,,,,,,11,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,75,,,,,,,,73
50,,,,,,,,62,,,,,,,,60
51,,,,,,,,,,,,,,,,
52,,,94,,,44,46,51,43,,45,,,47,,48
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,5,,,,,,,,,95,,7,
60,,,,,,,,,,,,,,,,
61,,,,,,,,62,,,,,,,,161
62,,,,,,,,,,,,,,,,
63,,,94,,,44,46,51,43,,45,,,47,,48
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,62,,,,,,,,60
75,,,,,,,,,,,,,,,,
76,,,94,,,44,46,51,43,,45,,,47,,48
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,121,51,,,120,,,47,,48
81,,,,,,,151,51,,,150,,,47,,48
82,,,,,,,,62,,,,,,108,,109
83,,,,,,,132,102,,,,,,98,,99
84,,,,,,,,145,,,,,,143,,144
85,,,,,,,117,102,,,,,,98,,99
86,,,,,,,97,102,,,,,,98,,99
87,,,,,,,135,102,,,,,,98,,99
88,,,163,,,44,46,51,43,,45,,,47,,48
89,,,,,,142,138,51,,,45,,,47,,48
90,,,,,,44,138,139,137,,45,,,47,,48
91,,18,,,,,,,,,,140,,,,
92,,,,,,,,127,,,,,,,,125
93,,,,,,,,62,,,,,,,,146
94,,,,,,,,,,,,,,,,
95,,18,,,,,,,,,,11,,,,
96,,159,,,,,,,,,,153,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,102,,,,,,,,199
101,,,,,,,,173,,,,,,,,172
102,,,,,,,,,,,,,,,,
103,,,200,,,44,46,51,43,,45,,,47,,48
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,190,,,,,,,,73
111,,,,,,,,62,,,,,,,,161
112,,,94,,,44,46,51,43,,45,,,47,,48
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,102,,,,,,,,165
119,,,179,,,44,46,51,43,,45,,,47,,48
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,62,,,,,,,,60
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,62,,,,,,,,60
127,,,,,,,,,,,,,,,,
128,,,94,,,44,46,51,43,,45,,,47,,48
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,173,,,,,,,,172
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,29,,,,,,,,,,197,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
